county,population
Pulaski County,388953  
Benton County,232658
Washington County,211552
Sebastian County,127404
Faulkner County,118692
Saline County,111851
Craighead County,99920
Garland County,96889
White County,78622
Jefferson County,74601
Lonoke County,70025
Pope County,61943
Crittenden County,50902
Crawford County,50088
Mississippi County,45529
Miller County,43620
Greene County,43165
Baxter County,41055
Union County,40907
Boone County,37321
Independence County,37020
Hot Spring County,33417
Saint Francis County,27859
Carroll County,27639
Johnson County,25866
Cleburne County,25788
Ouachita County,25389
Columbia County,24386
Poinsett County,24270
Clark County,22811
Hempstead County,22380
Logan County,21987
Yell County,21897
Ashley County,21526
Conway County,21250
Phillips County,20789
Polk County,20460
Arkansas County,18970
Drew County,18773
Grant County,18013
Franklin County,18009
Randolph County,17885
Cross County,17686
Jackson County,17619
Sevier County,17194
Van Buren County,17074
Sharp County,17037
Lawrence County,17028
Marion County,16599
Madison County,15615
Clay County,15592
Lincoln County,14133
Howard County,13749
Izard County,13505
Little River County,12920
Stone County,12661
Desha County,12566
Fulton County,12278
Chicot County,11443
Bradley County,11352
Pike County,11280
Scott County,11008
Perry County,10310
Lee County,10200
Montgomery County,9339
Nevada County,8924
Cleveland County,8639
Prairie County,8462
Newton County,8088
Searcy County,8026
Dallas County,7971
Monroe County,7854
Lafayette County,7423
Woodruff County,7084
Calhoun County,5317


































