"YEAR","EVENT_TYPE","CZ_NAME","DEATH_COUNT","INJURY_COUNT","CROPS_DAMAGE","PROPERTY_DAMAGE","FatalWeight"
2014,"Flash Flood","BOONE",0,0,0,75000,0
2014,"Flash Flood","CALHOUN",0,0,0,1000,0
2014,"Flash Flood","CHICOT",0,0,0,28000,0
2014,"Flash Flood","CLAY",0,0,0,685000,0
2014,"Flash Flood","CRAWFORD",0,2,0,100000,0.5
2014,"Flash Flood","CRITTENDEN",0,0,0,500000,0
2014,"Flash Flood","FULTON",0,0,0,100000,0
2014,"Flash Flood","GARLAND",0,0,0,1000,0
2014,"Flash Flood","HOT SPRING",0,0,0,85000,0
2014,"Flash Flood","INDEPENDENCE",0,0,100000,1555000,0
2014,"Flash Flood","IZARD",0,0,0,150000,0
2014,"Flash Flood","JACKSON",0,0,50000,275000,0
2014,"Flash Flood","JOHNSON",0,0,0,20000,0
2014,"Flash Flood","LAWRENCE",0,0,0,1488000,0
2014,"Flash Flood","LONOKE",0,0,50000,10000,0
2014,"Flash Flood","MARION",0,0,0,60000,0
2014,"Flash Flood","MONROE",0,0,250000,1305000,0
2014,"Flash Flood","OUACHITA",0,0,0,50000,0
2014,"Flash Flood","POLK",0,0,25000,835000,0
2014,"Flash Flood","POPE",0,0,0,125000,0
2014,"Flash Flood","PRAIRIE",0,0,100000,60000,0
2014,"Flash Flood","PULASKI",0,0,0,1720000,0
2014,"Flash Flood","RANDOLPH",0,0,0,1650000,0
2014,"Flash Flood","SCOTT",0,0,0,5000,0
2014,"Flash Flood","SEARCY",0,0,0,1000,0
2014,"Flash Flood","SHARP",0,0,0,1500000,0
2014,"Flash Flood","ST. FRANCIS",0,0,0,500000,0
2014,"Flash Flood","WHITE",0,0,50000,50000,0
2014,"Flash Flood","WOODRUFF",0,0,250000,1820000,0
2014,"Flash Flood","YELL",0,0,0,1000,0
2014,"Flood","FAULKNER",0,0,0,1000,0
2014,"Flood","INDEPENDENCE",0,0,10000,5000,0
2014,"Flood","JACKSON",0,0,1250000,20000,0
2014,"Flood","MONROE",0,0,4775000,70000,0
2014,"Flood","OUACHITA",0,0,0,6000,0
2014,"Flood","PERRY",0,0,5000,5000,0
2014,"Flood","PRAIRIE",0,0,2400000,20000,0
2014,"Flood","SHARP",0,0,0,1000,0
2014,"Flood","VAN BUREN",0,2,0,40000,0.5
2014,"Flood","WHITE",0,0,250000,25000,0
2014,"Flood","WOODRUFF",0,0,4825000,105000,0
2014,"Flood","YELL",0,0,5000,7000,0
2014,"Hail","ASHLEY",0,0,0,33300,0
2014,"Hail","BAXTER",0,0,0,0,0
2014,"Hail","BENTON",0,0,0,15000,0
2014,"Hail","BOONE",0,0,0,0,0
2014,"Hail","BRADLEY",0,0,0,0,0
2014,"Hail","CLARK",0,0,0,0,0
2014,"Hail","CLAY",0,0,0,0,0
2014,"Hail","CLEBURNE",0,0,0,0,0
2014,"Hail","CLEVELAND",0,0,0,0,0
2014,"Hail","CONWAY",0,0,0,0,0
2014,"Hail","CRAIGHEAD",0,0,0,0,0
2014,"Hail","CRITTENDEN",0,0,0,0,0
2014,"Hail","CROSS",0,0,0,0,0
2014,"Hail","DALLAS",0,0,0,0,0
2014,"Hail","DREW",0,0,0,0,0
2014,"Hail","GARLAND",0,0,0,0,0
2014,"Hail","GRANT",0,0,0,0,0
2014,"Hail","GREENE",0,0,0,0,0
2014,"Hail","HOT SPRING",0,0,0,0,0
2014,"Hail","INDEPENDENCE",0,0,0,0,0
2014,"Hail","JEFFERSON",0,0,0,0,0
2014,"Hail","JOHNSON",0,0,0,0,0
2014,"Hail","LAWRENCE",0,0,0,0,0
2014,"Hail","LOGAN",0,0,0,0,0
2014,"Hail","LONOKE",0,0,0,0,0
2014,"Hail","MISSISSIPPI",0,0,0,0,0
2014,"Hail","MONTGOMERY",0,0,0,0,0
2014,"Hail","NEWTON",0,0,0,0,0
2014,"Hail","OUACHITA",0,0,0,0,0
2014,"Hail","PERRY",0,0,0,0,0
2014,"Hail","PIKE",0,0,0,0,0
2014,"Hail","POINSETT",0,0,0,0,0
2014,"Hail","POLK",0,0,0,0,0
2014,"Hail","POPE",0,0,0,0,0
2014,"Hail","PULASKI",0,0,0,0,0
2014,"Hail","RANDOLPH",0,0,0,0,0
2014,"Hail","SALINE",0,0,0,0,0
2014,"Hail","SCOTT",0,0,0,0,0
2014,"Hail","SEARCY",0,0,0,0,0
2014,"Hail","STONE",0,0,0,0,0
2014,"Hail","VAN BUREN",0,0,0,0,0
2014,"Hail","WHITE",0,0,0,0,0
2014,"Heavy Rain","PULASKI",0,1,0,25000,0.25
2014,"High Wind","BENTON",0,0,0,2000,0
2014,"Ice Storm","CLEBURNE",0,0,0,200000,0
2014,"Ice Storm","CONWAY",0,0,0,200000,0
2014,"Ice Storm","FAULKNER",0,0,0,500000,0
2014,"Ice Storm","GARLAND",0,0,0,700000,0
2014,"Ice Storm","INDEPENDENCE",0,0,0,200000,0
2014,"Ice Storm","IZARD",0,0,0,200000,0
2014,"Ice Storm","JACKSON",0,0,0,300000,0
2014,"Ice Storm","JEFFERSON",0,0,0,200000,0
2014,"Ice Storm","LOGAN",0,0,0,200000,0
2014,"Ice Storm","LONOKE",1,0,0,200000,0.75
2014,"Ice Storm","MONTGOMERY",0,0,0,300000,0
2014,"Ice Storm","PERRY",0,0,0,200000,0
2014,"Ice Storm","PIKE",0,0,0,200000,0
2014,"Ice Storm","POPE",0,0,0,500000,0
2014,"Ice Storm","PRAIRIE",0,0,0,200000,0
2014,"Ice Storm","PULASKI",0,0,0,700000,0
2014,"Ice Storm","SALINE",0,0,0,300000,0
2014,"Ice Storm","SHARP",0,0,0,200000,0
2014,"Ice Storm","STONE",0,0,0,200000,0
2014,"Ice Storm","VAN BUREN",0,0,0,200000,0
2014,"Ice Storm","WHITE",0,0,0,500000,0
2014,"Ice Storm","WOODRUFF",0,0,0,400000,0
2014,"Ice Storm","YELL",0,0,0,300000,0
2014,"Lightning","BENTON",0,3,0,0,0.75
2014,"Lightning","DREW",0,0,0,25000,0
2014,"Lightning","FAULKNER",0,6,0,0,1.5
2014,"Lightning","GARLAND",0,0,0,10000,0
2014,"Lightning","MISSISSIPPI",1,0,0,25000,0.75
2014,"Lightning","POLK",0,0,0,130000,0
2014,"Lightning","SEBASTIAN",0,1,0,0,0.25
2014,"Lightning","WASHINGTON",0,0,0,30000,0
2014,"Lightning","WOODRUFF",0,0,0,150000,0
2014,"Lightning","YELL",1,0,0,0,0.75
