"YEAR","STATE","EVENT_TYPE","DEATH_COUNT"
2014,"ALABAMA","Flash Flood",1
2014,"ALABAMA","Flood",1
2014,"ALABAMA","Heavy Rain",1
2014,"ALABAMA","Rip Current",3
2014,"ALABAMA","Thunderstorm Wind",1
2014,"ALABAMA","Tornado",2
2014,"ALABAMA","Winter Storm",8
2014,"ALABAMA","Winter Weather",1
2014,"ALASKA","Avalanche",1
2014,"ALASKA","Winter Weather",1
2014,"ARIZONA","Flash Flood",2
2014,"ARIZONA","Heat",2
2014,"ARIZONA","Heavy Rain",2
2014,"ARIZONA","Lightning",2
2014,"ARIZONA","Winter Weather",1
2014,"ARKANSAS","Ice Storm",1
2014,"ARKANSAS","Lightning",2
2014,"ARKANSAS","Thunderstorm Wind",6
2014,"ARKANSAS","Tornado",17
2014,"ARKANSAS","Winter Storm",3
2014,"ARKANSAS","Winter Weather",6
2014,"ATLANTIC SOUTH","Marine Thunderstorm Wind",2
2014,"CALIFORNIA","Dense Fog",3
2014,"CALIFORNIA","Excessive Heat",1
2014,"CALIFORNIA","Flash Flood",3
2014,"CALIFORNIA","Heat",1
2014,"CALIFORNIA","High Surf",3
2014,"CALIFORNIA","High Wind",4
2014,"CALIFORNIA","Lightning",1
2014,"CALIFORNIA","Rip Current",3
2014,"CALIFORNIA","Sneakerwave",5
2014,"CALIFORNIA","Strong Wind",3
2014,"CALIFORNIA","Wildfire",2
2014,"CALIFORNIA","Winter Weather",1
2014,"COLORADO","Avalanche",5
2014,"COLORADO","Debris Flow",3
2014,"COLORADO","Lightning",2
2014,"COLORADO","Thunderstorm Wind",1
2014,"COLORADO","Winter Weather",1
2014,"CONNECTICUT","Thunderstorm Wind",1
2014,"DELAWARE","Heat",1
2014,"E PACIFIC","Marine Strong Wind",6
2014,"FLORIDA","Flash Flood",3
2014,"FLORIDA","Lightning",6
2014,"FLORIDA","Rip Current",10
2014,"FLORIDA","Strong Wind",1
2014,"FLORIDA","Thunderstorm Wind",1
2014,"GEORGIA","Ice Storm",1
2014,"GEORGIA","Lightning",2
2014,"GEORGIA","Winter Storm",4
2014,"GUAM","Astronomical Low Tide",1
2014,"GUAM","Heavy Rain",1
2014,"GUAM","High Surf",3
2014,"GUAM","Rip Current",4
2014,"HAWAII","Strong Wind",1
2014,"HAWAII WATERS","Marine High Wind",1
2014,"IDAHO","Avalanche",1
2014,"IDAHO","Freezing Fog",1
2014,"IDAHO","Winter Storm",3
2014,"IDAHO","Winter Weather",4
2014,"ILLINOIS","Cold/Wind Chill",15
2014,"ILLINOIS","Extreme Cold/Wind Chill",6
2014,"ILLINOIS","Heat",1
2014,"ILLINOIS","Heavy Snow",1
2014,"ILLINOIS","Thunderstorm Wind",1
2014,"ILLINOIS","Winter Storm",1
2014,"ILLINOIS","Winter Weather",2
2014,"INDIANA","Flood",3
2014,"INDIANA","Thunderstorm Wind",2
2014,"INDIANA","Winter Weather",1
2014,"IOWA","Flash Flood",1
2014,"IOWA","Thunderstorm Wind",3
2014,"IOWA","Tornado",2
2014,"KANSAS","Dust Storm",3
2014,"KANSAS","Excessive Heat",1
2014,"KANSAS","Heavy Snow",1
2014,"KANSAS","Thunderstorm Wind",1
2014,"KANSAS","Winter Weather",1
2014,"KENTUCKY","Cold/Wind Chill",1
2014,"KENTUCKY","Flash Flood",3
2014,"KENTUCKY","Heavy Rain",1
2014,"KENTUCKY","Winter Storm",1
2014,"KENTUCKY","Winter Weather",5
2014,"LAKE SUPERIOR","Marine Strong Wind",2
2014,"LOUISIANA","Extreme Cold/Wind Chill",2
2014,"LOUISIANA","Flash Flood",1
2014,"LOUISIANA","Flood",1
2014,"LOUISIANA","Ice Storm",2
2014,"LOUISIANA","Thunderstorm Wind",2
2014,"MAINE","Flood",1
2014,"MAINE","Strong Wind",1
2014,"MARYLAND","Rip Current",5
2014,"MARYLAND","Thunderstorm Wind",1
2014,"MASSACHUSETTS","Lightning",2
2014,"MASSACHUSETTS","Strong Wind",2
2014,"MICHIGAN","Lightning",1
2014,"MICHIGAN","Winter Weather",4
2014,"MINNESOTA","Blizzard",2
2014,"MINNESOTA","Cold/Wind Chill",5
2014,"MINNESOTA","Extreme Cold/Wind Chill",2
2014,"MINNESOTA","Freezing Fog",1
2014,"MINNESOTA","Winter Storm",1
2014,"MISSISSIPPI","Flash Flood",1
2014,"MISSISSIPPI","Lightning",1
2014,"MISSISSIPPI","Strong Wind",1
2014,"MISSISSIPPI","Thunderstorm Wind",1
2014,"MISSISSIPPI","Tornado",17
2014,"MISSISSIPPI","Winter Weather",2
2014,"MISSOURI","Flood",1
2014,"MISSOURI","Lightning",1
2014,"MISSOURI","Winter Weather",1
2014,"MONTANA","Avalanche",6
2014,"MONTANA","Winter Storm",1
2014,"MONTANA","Winter Weather",5
2014,"NEBRASKA","Flash Flood",1
2014,"NEBRASKA","Tornado",2
2014,"NEBRASKA","Winter Storm",1
2014,"NEVADA","Cold/Wind Chill",1
2014,"NEVADA","Excessive Heat",3
2014,"NEVADA","Heat",9
2014,"NEVADA","High Wind",1
2014,"NEW JERSEY","Dense Fog",1
2014,"NEW JERSEY","High Wind",1
2014,"NEW JERSEY","Rip Current",4
2014,"NEW JERSEY","Winter Weather",3
2014,"NEW MEXICO","Dense Fog",1
2014,"NEW MEXICO","Flash Flood",2
2014,"NEW MEXICO","Lightning",1
2014,"NEW YORK","Dust Devil",1
2014,"NEW YORK","Lake-Effect Snow",13
2014,"NEW YORK","Rip Current",1
2014,"NEW YORK","Thunderstorm Wind",2
2014,"NEW YORK","Tornado",4
2014,"NORTH CAROLINA","Rip Current",1
2014,"NORTH CAROLINA","Strong Wind",1
2014,"NORTH CAROLINA","Thunderstorm Wind",3
2014,"NORTH CAROLINA","Tornado",2
2014,"NORTH CAROLINA","Winter Storm",1
