"YEAR","STATE","DEATH_COUNT","INJURY_COUNT"
2014,"ALABAMA",18,89
2014,"ALASKA",2,1
2014,"ARIZONA",9,29
2014,"ARKANSAS",35,239
2014,"ATLANTIC SOUTH",2,1
2014,"CALIFORNIA",30,173
2014,"COLORADO",12,57
2014,"CONNECTICUT",1,1
2014,"DELAWARE",1,165
2014,"E PACIFIC",6,4
2014,"FLORIDA",21,57
2014,"GEORGIA",7,36
2014,"GUAM",9,2
2014,"HAWAII",1,2
2014,"HAWAII WATERS",1,2
2014,"IDAHO",9,18
2014,"ILLINOIS",27,32
2014,"INDIANA",6,5
2014,"IOWA",6,30
2014,"KANSAS",7,48
2014,"KENTUCKY",11,26
2014,"LAKE SUPERIOR",2,0
2014,"LOUISIANA",8,3
2014,"MAINE",2,1
2014,"MARYLAND",6,8
2014,"MASSACHUSETTS",4,25
2014,"MICHIGAN",5,23
2014,"MINNESOTA",11,16
2014,"MISSISSIPPI",23,214
2014,"MISSOURI",3,31
2014,"MONTANA",12,26
2014,"NEBRASKA",4,30
2014,"NEVADA",14,30
2014,"NEW HAMPSHIRE",0,2
2014,"NEW JERSEY",9,576
2014,"NEW MEXICO",4,13
2014,"NEW YORK",21,387
2014,"NORTH CAROLINA",10,49
2014,"NORTH DAKOTA",2,14
2014,"OHIO",5,47
2014,"OKLAHOMA",2,41
2014,"OREGON",12,15
2014,"PENNSYLVANIA",16,109
2014,"PUERTO RICO",7,0
2014,"RHODE ISLAND",1,0
2014,"SOUTH CAROLINA",9,16
2014,"SOUTH DAKOTA",5,15
2014,"TENNESSEE",7,8
2014,"TEXAS",29,98
2014,"UTAH",6,15
2014,"VERMONT",0,7
2014,"VIRGIN ISLANDS",2,0
2014,"VIRGINIA",9,50
2014,"WASHINGTON",55,45
2014,"WEST VIRGINIA",8,9
2014,"WISCONSIN",22,22
2014,"WYOMING",1,14
2015,"ALABAMA",14,28
2015,"ALASKA",11,8
2015,"AMERICAN SAMOA",1,0
2015,"ARIZONA",10,70
2015,"ARKANSAS",10,339
2015,"ATLANTIC NORTH",4,5
2015,"ATLANTIC SOUTH",3,0
2015,"CALIFORNIA",23,56
2015,"COLORADO",3,27
2015,"CONNECTICUT",2,3
2015,"DELAWARE",0,89
2015,"E PACIFIC",6,1
2015,"FLORIDA",27,84
2015,"GEORGIA",7,21
2015,"GUAM",19,56
2015,"GULF OF MEXICO",6,6
2015,"HAWAII",5,8
2015,"HAWAII WATERS",1,1
2015,"IDAHO",9,5
2015,"ILLINOIS",31,66
2015,"INDIANA",15,21
2015,"IOWA",5,9
2015,"KANSAS",3,15
2015,"KENTUCKY",29,54
2015,"LAKE ST CLAIR",0,2
2015,"LOUISIANA",4,16
2015,"MAINE",0,42
2015,"MARYLAND",8,10
2015,"MASSACHUSETTS",3,3
2015,"MICHIGAN",1,15
2015,"MINNESOTA",4,7
2015,"MISSISSIPPI",18,68
2015,"MISSOURI",13,19
2015,"MONTANA",5,2
2015,"NEBRASKA",2,0
2015,"NEVADA",36,91
2015,"NEW HAMPSHIRE",2,34
2015,"NEW JERSEY",14,157
2015,"NEW MEXICO",10,12
2015,"NEW YORK",5,1
2015,"NORTH CAROLINA",6,27
2015,"OHIO",6,9
2015,"OKLAHOMA",22,171
2015,"OREGON",9,12
2015,"PENNSYLVANIA",23,135
2015,"PUERTO RICO",8,1
2015,"RHODE ISLAND",0,1
2015,"SOUTH CAROLINA",10,12
2015,"SOUTH DAKOTA",3,14
2015,"TENNESSEE",23,10
2015,"TEXAS",118,773
2015,"UTAH",25,64
2015,"VERMONT",5,0
2015,"VIRGINIA",3,3
2015,"WASHINGTON",14,9
2015,"WEST VIRGINIA",6,3
2015,"WISCONSIN",10,12
2015,"WYOMING",4,32
